epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7859,2.23652,4.32391,1.67753,0.00333,1,0.01185,0.00631,1.44288,3.47219,1.14529,0.00024,0.00024,0.00024
2,18.0757,1.46516,1.97791,1.14601,0.003,0.9,0.01045,0.00664,1.35256,3.39824,1.10712,0.0004901,0.0004901,0.0004901
3,26.4647,1.35026,1.66202,1.10544,0.00333,1,0.27255,0.15211,1.4341,3.21427,1.11545,0.000729904,0.000729904,0.000729904
4,34.9239,1.29021,1.47462,1.04821,0.00333,1,0.37146,0.21954,1.37317,3.09507,1.09425,0.000959412,0.000959412,0.000959412
5,43.312,1.37656,1.43544,1.06803,0.01479,0.95,0.7516,0.40946,1.45481,2.99889,1.14789,0.00117862,0.00117862,0.00117862
6,51.7279,1.25587,1.48535,1.10705,1,0.74985,0.94614,0.57555,1.38889,2.36657,1.15204,0.00138754,0.00138754,0.00138754
7,60.0589,1.22196,1.31214,1.0835,0.98087,0.95,0.9451,0.57534,1.51992,1.9698,1.22056,0.00158616,0.00158616,0.00158616
8,68.3833,1.24124,1.21046,1.05463,0.93659,0.9,0.93377,0.51974,1.58975,1.37727,1.36474,0.0017228,0.0017228,0.0017228
9,76.6616,1.252,1.17015,1.05051,0.95355,0.85,0.9314,0.49979,1.56555,1.16119,1.33657,0.0016832,0.0016832,0.0016832
10,85.0356,1.22374,1.11987,1.05744,0.8568,0.95,0.89846,0.46536,1.5105,1.04658,1.25094,0.0016436,0.0016436,0.0016436
11,93.3816,1.20442,1.03712,1.03335,1,0.99381,0.995,0.62228,1.28688,0.92486,1.14192,0.001604,0.001604,0.001604
12,101.922,1.13513,0.97285,1.01314,0.95197,0.99131,0.98786,0.64727,1.32861,1.11979,1.13864,0.0015644,0.0015644,0.0015644
13,110.417,1.13098,0.97677,1.02146,0.95221,0.99632,0.98786,0.59351,1.34572,0.86708,1.1086,0.0015248,0.0015248,0.0015248
14,118.74,1.11207,0.89013,1.01737,0.99608,0.95,0.98346,0.57603,1.44346,0.79889,1.21798,0.0014852,0.0014852,0.0014852
15,127.101,1.13938,0.90816,1.02072,0.99661,0.95,0.94542,0.56092,1.6888,0.96289,1.4346,0.0014456,0.0014456,0.0014456
16,135.489,1.07657,0.82694,0.99581,0.99432,0.95,0.94518,0.61035,1.38113,0.85464,1.24362,0.001406,0.001406,0.001406
17,143.818,1.11369,0.84231,1.01773,0.99322,0.95,0.98667,0.64307,1.22931,0.75164,1.11963,0.0013664,0.0013664,0.0013664
18,152.156,1.11195,0.78221,1.01775,0.9933,0.95,0.98848,0.62846,1.30682,0.81714,1.16889,0.0013268,0.0013268,0.0013268
19,160.522,1.08289,0.76307,0.9856,0.99143,0.95,0.95015,0.58866,1.40049,0.81588,1.23038,0.0012872,0.0012872,0.0012872
20,168.877,1.11401,0.745,1.01007,0.992,0.95,0.94512,0.58306,1.41867,0.69127,1.2365,0.0012476,0.0012476,0.0012476
21,177.23,1.0691,0.7268,0.99986,0.99363,0.95,0.95471,0.60253,1.45142,0.67696,1.22362,0.001208,0.001208,0.001208
22,185.559,1.06181,0.71529,0.99668,1,0.99515,0.995,0.69606,1.20638,0.60773,1.06691,0.0011684,0.0011684,0.0011684
23,194.123,1.00846,0.68701,0.96993,0.9521,0.99418,0.99024,0.67206,1.23451,0.57399,1.10631,0.0011288,0.0011288,0.0011288
24,202.718,0.99832,0.67791,0.94463,0.95224,0.99704,0.99262,0.69734,1.12428,0.63221,1.06253,0.0010892,0.0010892,0.0010892
25,211.505,0.99206,0.65375,0.96772,0.9521,0.99405,0.99262,0.70041,1.14591,0.58838,1.06199,0.0010496,0.0010496,0.0010496
26,223.547,0.93539,0.62818,0.94859,0.9953,0.95,0.99045,0.67953,1.12276,0.57501,1.06924,0.00101,0.00101,0.00101
27,237.98,1.00163,0.64593,0.97709,0.99469,0.95,0.99045,0.66917,1.17338,0.58689,1.09378,0.0009704,0.0009704,0.0009704
28,258.575,0.93639,0.62581,0.94655,0.99152,0.95,0.99262,0.65941,1.1581,0.55382,1.08667,0.0009308,0.0009308,0.0009308
29,274.445,0.97119,0.60799,0.94134,1,0.99171,0.995,0.66554,1.20085,0.56051,1.11158,0.0008912,0.0008912,0.0008912
30,292.536,0.93955,0.59486,0.9637,1,0.99212,0.995,0.68523,1.19423,0.53826,1.1242,0.0008516,0.0008516,0.0008516
31,307.371,0.90844,0.58621,0.93867,0.99396,0.95,0.97833,0.61492,1.328,0.582,1.19482,0.000812,0.000812,0.000812
32,323.289,0.92711,0.58241,0.93949,0.98973,0.95,0.97625,0.60808,1.33708,0.59225,1.20468,0.0007724,0.0007724,0.0007724
33,337.214,0.85956,0.55601,0.92178,0.99216,0.95,0.97625,0.56913,1.43332,0.59941,1.27576,0.0007328,0.0007328,0.0007328
34,350.763,0.92626,0.5522,0.93057,0.99191,0.95,0.97833,0.59237,1.35654,0.55813,1.22552,0.0006932,0.0006932,0.0006932
35,364.79,0.88399,0.54367,0.93066,0.99158,0.95,0.97948,0.61534,1.30595,0.55891,1.18717,0.0006536,0.0006536,0.0006536
36,382.24,0.87107,0.54874,0.92176,0.99147,0.95,0.98204,0.57685,1.35531,0.57139,1.22102,0.000614,0.000614,0.000614
37,397.143,0.90483,0.55398,0.94024,0.99022,0.95,0.97625,0.64355,1.27812,0.54661,1.16203,0.0005744,0.0005744,0.0005744
38,412.916,0.87661,0.54444,0.93281,0.98937,0.95,0.98204,0.65666,1.27825,0.57491,1.20349,0.0005348,0.0005348,0.0005348
39,428.317,0.89466,0.53273,0.93542,0.99065,0.95,0.99045,0.6925,1.26916,0.54219,1.1786,0.0004952,0.0004952,0.0004952
40,445.004,0.84941,0.50354,0.91458,0.99253,0.95,0.99045,0.64507,1.2862,0.56859,1.16849,0.0004556,0.0004556,0.0004556
