epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4176.73,0.78334,0.52418,1.14777,0.95414,0.95,0.98039,0.61193,1.27726,0.63966,1.70221,0.000742625,0.000742625,0.000742625
43,4281.54,0.79149,0.53232,1.14034,0.95566,0.95986,0.98554,0.60531,1.33323,0.66834,1.77136,0.00073025,0.00073025,0.00073025
44,4370.58,0.756,0.50181,1.12672,0.94055,0.95723,0.9914,0.61807,1.29775,0.6614,1.7764,0.000717875,0.000717875,0.000717875
45,4468.74,0.76817,0.49188,1.1353,0.93644,0.99106,0.98832,0.61798,1.2843,0.64426,1.76793,0.0007055,0.0007055,0.0007055
46,4564.5,0.75866,0.48615,1.10655,0.95423,0.94167,0.98066,0.57958,1.37235,0.67006,1.85601,0.000693125,0.000693125,0.000693125
47,4663.84,0.7453,0.49018,1.12711,0.902,0.97652,0.97915,0.58351,1.38973,0.66677,1.87117,0.00068075,0.00068075,0.00068075
48,4756.14,0.73311,0.47111,1.1169,0.90146,0.94167,0.95725,0.57866,1.38298,0.66061,1.82997,0.000668375,0.000668375,0.000668375
49,4859.89,0.73191,0.46018,1.10767,0.93878,0.975,0.98101,0.58217,1.33884,0.63534,1.76674,0.000656,0.000656,0.000656
50,4953.78,0.73837,0.46699,1.11325,0.94931,1,0.98934,0.57418,1.41622,0.65134,1.83908,0.000643625,0.000643625,0.000643625
51,5056.27,0.75109,0.47283,1.13323,0.96622,0.98333,0.98314,0.56825,1.3892,0.68586,1.78781,0.00063125,0.00063125,0.00063125
52,5142.66,0.74701,0.46994,1.10928,0.94747,0.9473,0.9647,0.60108,1.34116,0.63404,1.74131,0.000618875,0.000618875,0.000618875
53,5245.28,0.72815,0.45886,1.11354,0.94842,0.96551,0.96794,0.59326,1.31081,0.59649,1.73991,0.0006065,0.0006065,0.0006065
54,5330.95,0.72865,0.46575,1.11396,0.97178,0.97765,0.98007,0.61157,1.30689,0.59616,1.73835,0.000594125,0.000594125,0.000594125
55,5432.25,0.72021,0.44262,1.10468,0.97327,0.98333,0.98057,0.625,1.27659,0.57788,1.69761,0.00058175,0.00058175,0.00058175
56,5524.81,0.7537,0.45756,1.12408,0.96904,1,0.995,0.60997,1.30483,0.57339,1.70073,0.000569375,0.000569375,0.000569375
57,5628.51,0.72511,0.44218,1.11349,0.98282,0.99756,0.99419,0.59635,1.31171,0.57734,1.71917,0.000557,0.000557,0.000557
58,5727.13,0.68561,0.43813,1.08441,0.97277,0.97342,0.98956,0.62206,1.25399,0.54418,1.7005,0.000544625,0.000544625,0.000544625
