                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84851,                0.53692,                 1.0334,                 0.9895,                      1,                  0.995,                0.72541,                 1.0487,                0.51863,                  1.221,             0.00081688,             0.00081688,             0.00081688
                     37,                0.83927,                0.51552,                  1.032,                0.99197,                      1,                  0.995,                 0.7537,                0.98221,                 0.5441,                 1.1579,              0.0008045,              0.0008045,              0.0008045
                     38,                0.85047,                0.51734,                 1.0439,                0.99129,                      1,                  0.995,                0.76805,                0.92895,                0.51427,                 1.1253,             0.00079213,             0.00079213,             0.00079213
                     39,                0.86431,                0.54232,                 1.0474,                0.98934,                      1,                  0.995,                0.76343,                0.94211,                0.51468,                 1.1274,             0.00077975,             0.00077975,             0.00077975
                     40,                0.86851,                0.52096,                 1.0404,                0.99362,                      1,                  0.995,                0.74807,                0.95994,                0.50558,                 1.1522,             0.00076738,             0.00076738,             0.00076738
                     41,                0.85318,                0.51402,                 1.0368,                0.98736,                      1,                  0.995,                0.76176,                0.96316,                0.53906,                 1.1508,               0.000755,               0.000755,               0.000755
                     42,                0.84438,                 0.5112,                  1.036,                0.98578,                      1,                  0.995,                 0.7635,                0.93354,                0.52299,                 1.1145,             0.00074263,             0.00074263,             0.00074263
                     43,                0.83555,                0.48846,                 1.0121,                0.98742,                      1,                  0.995,                0.76213,                0.97367,                0.49306,                 1.1492,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.8507,                0.49239,                 1.0322,                0.98715,                0.99995,                  0.995,                0.77012,                0.95508,                0.48467,                 1.1323,             0.00071788,             0.00071788,             0.00071788
                     45,                0.81284,                0.48569,                 1.0068,                0.98554,                0.99906,                  0.995,                0.75827,                  0.959,                0.45642,                 1.1388,              0.0007055,              0.0007055,              0.0007055
                     46,                0.79681,                0.46432,                  1.022,                0.98923,                      1,                  0.995,                0.74973,                0.94457,                0.46365,                 1.1221,             0.00069313,             0.00069313,             0.00069313
                     47,                0.85298,                0.48426,                 1.0368,                0.99047,                      1,                  0.995,                0.73658,                0.99153,                0.47393,                 1.1545,             0.00068075,             0.00068075,             0.00068075
                     48,                0.83928,                0.47857,                 1.0509,                0.99459,                      1,                  0.995,                0.75436,                0.96035,                0.47123,                 1.1342,             0.00066838,             0.00066838,             0.00066838
                     49,                0.78636,                0.45043,                 1.0127,                0.99205,                      1,                  0.995,                0.73509,                 1.0189,                0.47841,                 1.1745,               0.000656,               0.000656,               0.000656
                     50,                0.81382,                  0.451,                 1.0078,                0.98995,                0.99878,                  0.995,                 0.7445,                   1.02,                0.47889,                 1.1831,             0.00064362,             0.00064362,             0.00064362
                     51,                0.81426,                0.45486,                 1.0215,                0.99321,                      1,                  0.995,                0.76546,                0.98105,                0.46734,                 1.1434,             0.00063125,             0.00063125,             0.00063125
                     52,                0.81789,                0.44391,                 1.0216,                0.98999,                      1,                  0.995,                0.73501,                 1.0323,                0.45169,                 1.1844,             0.00061887,             0.00061887,             0.00061887
                     53,                0.81118,                0.45156,                 1.0074,                0.99297,                      1,                  0.995,                0.74555,                 1.0151,                0.47742,                 1.1763,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77982,                0.43423,                 1.0137,                0.99492,                      1,                  0.995,                0.73699,                0.98161,                0.43511,                 1.1574,             0.00059413,             0.00059413,             0.00059413
                     55,                0.78345,                0.42676,                 1.0064,                 0.9945,                      1,                  0.995,                0.72687,                0.99588,                 0.4524,                 1.1674,             0.00058175,             0.00058175,             0.00058175
                     56,                0.79805,                0.43173,                 1.0079,                0.99082,                      1,                  0.995,                0.71979,                 1.0341,                 0.4389,                 1.1933,             0.00056938,             0.00056938,             0.00056938
                     57,                0.77313,                0.41682,                 1.0122,                0.98656,                      1,                  0.995,                0.73399,                 1.0296,                0.45133,                  1.207,               0.000557,               0.000557,               0.000557
                     58,                0.81985,                  0.434,                 1.0326,                0.98781,                      1,                  0.995,                0.75501,                0.99897,                0.45788,                 1.1735,             0.00054463,             0.00054463,             0.00054463
                     59,                0.78955,                0.42158,                 1.0219,                0.99314,                      1,                  0.995,                0.76298,                0.98377,                0.44167,                 1.1603,             0.00053225,             0.00053225,             0.00053225
                     60,                0.77271,                0.40982,                 1.0246,                0.99175,                      1,                  0.995,                0.76676,                 0.9802,                0.43713,                 1.1552,             0.00051988,             0.00051988,             0.00051988
                     61,                0.80968,                0.43091,                 1.0311,                0.98657,                      1,                  0.995,                0.73923,                 1.0273,                 0.4427,                   1.18,              0.0005075,              0.0005075,              0.0005075
                     62,                0.77724,                0.41242,                0.99518,                0.98252,                      1,                  0.995,                0.73009,                  1.005,                0.43115,                 1.1635,             0.00049513,             0.00049513,             0.00049513
                     63,                0.77693,                0.40655,                0.98602,                0.98743,                      1,                  0.995,                0.74605,                0.99247,                0.42508,                 1.1605,             0.00048275,             0.00048275,             0.00048275
                     64,                0.76829,                0.39352,                 1.0074,                0.99205,                      1,                  0.995,                0.75309,                  1.002,                 0.4258,                 1.1836,             0.00047038,             0.00047038,             0.00047038
                     65,                0.75057,                0.40012,                0.98769,                0.99206,                      1,                  0.995,                0.76377,                 1.0183,                0.41011,                 1.1723,               0.000458,               0.000458,               0.000458
                     66,                 0.7404,                0.38946,                0.99803,                0.99352,                      1,                  0.995,                0.75924,                0.99984,                0.41371,                 1.1629,             0.00044563,             0.00044563,             0.00044563
                     67,                0.79896,                0.41948,                 1.0091,                0.99189,                      1,                  0.995,                0.74458,                 1.0182,                0.41684,                 1.1796,             0.00043325,             0.00043325,             0.00043325
                     68,                0.76655,                0.39049,                  1.001,                0.99238,                      1,                  0.995,                0.74758,                 1.0085,                0.43068,                 1.1806,             0.00042087,             0.00042087,             0.00042087
                     69,                0.77802,                0.39225,                0.98973,                0.99297,                      1,                  0.995,                0.74487,                 1.0095,                0.40537,                 1.1814,              0.0004085,              0.0004085,              0.0004085
                     70,                0.78756,                0.40371,                0.98899,                0.99444,                      1,                  0.995,                0.74828,                0.99982,                0.39424,                 1.1637,             0.00039613,             0.00039613,             0.00039613
                     71,                0.77919,                0.39579,                 1.0003,                0.99239,                      1,                  0.995,                 0.7468,                 1.0058,                0.39918,                 1.1772,             0.00038375,             0.00038375,             0.00038375
                     72,                0.78484,                0.38249,                0.99968,                0.99243,                      1,                  0.995,                 0.7656,                 0.9693,                0.39972,                 1.1411,             0.00037138,             0.00037138,             0.00037138
                     73,                0.73007,                0.37427,                0.97469,                0.99404,                      1,                  0.995,                0.76476,                0.96113,                0.40925,                 1.1288,               0.000359,               0.000359,               0.000359
                     74,                0.74944,                0.39327,                0.98669,                0.99516,                      1,                  0.995,                0.76626,                0.97393,                0.39939,                 1.1527,             0.00034663,             0.00034663,             0.00034663
                     75,                0.76669,                0.38836,                0.98918,                0.99359,                      1,                  0.995,                0.76779,                0.99666,                0.41405,                 1.1704,             0.00033425,             0.00033425,             0.00033425
                     76,                0.73933,                 0.3693,                0.97458,                 0.9932,                      1,                  0.995,                0.75138,                0.98809,                0.39539,                 1.1626,             0.00032188,             0.00032188,             0.00032188
                     77,                0.72877,                 0.3784,                 1.0003,                0.99501,                      1,                  0.995,                0.75631,                0.99001,                0.40115,                 1.1663,              0.0003095,              0.0003095,              0.0003095
                     78,                0.74678,                0.37782,                0.98946,                0.99372,                      1,                  0.995,                 0.7535,                 1.0012,                0.39237,                 1.1699,             0.00029713,             0.00029713,             0.00029713
                     79,                 0.7977,                0.38993,                 1.0129,                0.99317,                      1,                  0.995,                 0.7451,                 1.0389,                0.40153,                 1.1946,             0.00028475,             0.00028475,             0.00028475
                     80,                0.73772,                0.37577,                0.98504,                0.99422,                      1,                  0.995,                0.73925,                 1.0223,                0.40126,                   1.18,             0.00027237,             0.00027237,             0.00027237
