epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1627,1.27096,1.88737,1.25294,0.86621,0.89203,0.93553,0.69504,1.01459,1.23222,1.01099,0.0002858,0.0002858,0.0002858
2,130.542,1.10669,0.97089,1.12857,0.86137,0.95457,0.95558,0.72236,0.99544,0.94884,1.03988,0.00058009,0.00058009,0.00058009
3,196.081,1.08808,0.7794,1.1395,0.95956,0.96461,0.95801,0.70899,1.02634,0.95548,1.03417,0.000868438,0.000868438,0.000868438
4,266.067,1.1152,0.78897,1.14252,0.80791,0.8168,0.93155,0.65353,1.10035,2.0849,1.07779,0.00115084,0.00115084,0.00115084
5,333.872,1.10182,0.76709,1.15694,0.87625,0.82317,0.93321,0.63635,1.14538,1.69139,1.08538,0.00137241,0.00137241,0.00137241
6,400.752,1.05981,0.7033,1.12306,0.7483,0.84151,0.88907,0.62951,1.09716,1.9064,1.06154,0.00135826,0.00135826,0.00135826
7,465.584,1.01799,0.64623,1.10343,0.94134,0.84416,0.9476,0.68793,1.03875,0.86854,1.04989,0.00134412,0.00134412,0.00134412
8,530.486,1.04276,0.65278,1.12222,0.74448,0.93095,0.952,0.68069,1.03312,1.50525,1.10192,0.00132997,0.00132997,0.00132997
9,598.185,1.01983,0.61657,1.10939,0.98601,0.91838,0.96078,0.72968,0.92896,0.64879,1.00526,0.00131582,0.00131582,0.00131582
10,664.162,1.01369,0.60267,1.11899,0.93704,0.93734,0.95556,0.70902,0.99388,0.95521,1.02717,0.00130168,0.00130168,0.00130168
11,730.262,0.98474,0.59304,1.10569,0.92154,0.93108,0.94754,0.70717,1.0041,0.70322,1.05741,0.00128753,0.00128753,0.00128753
12,798.513,0.98918,0.61544,1.10461,0.99847,0.93772,0.95938,0.72717,0.94239,0.76616,1.01606,0.00127338,0.00127338,0.00127338
13,863.728,0.97844,0.59379,1.11186,0.97072,0.94913,0.95587,0.72646,0.95843,0.58842,1.03936,0.00125923,0.00125923,0.00125923
14,930.239,0.92904,0.56176,1.08329,0.8595,0.8121,0.83613,0.61018,1.06499,0.93775,1.12956,0.00124509,0.00124509,0.00124509
15,1003.98,0.94947,0.57501,1.08358,0.97663,0.93596,0.95869,0.7509,0.91757,0.59217,1.01772,0.00123094,0.00123094,0.00123094
16,1079.71,0.92793,0.54623,1.07528,0.98656,0.95385,0.97236,0.7442,0.90486,0.49405,0.98358,0.00121679,0.00121679,0.00121679
17,1150.1,0.91087,0.54026,1.05135,0.98577,0.9457,0.97355,0.74498,0.95206,0.46776,0.99708,0.00120265,0.00120265,0.00120265
18,1222.31,0.91537,0.52485,1.07246,0.99257,0.96461,0.97398,0.71499,0.99859,0.50544,1.04808,0.0011885,0.0011885,0.0011885
19,1297.07,0.91814,0.52732,1.07467,0.97497,0.95385,0.96273,0.75727,0.91161,0.48274,1.00386,0.00117435,0.00117435,0.00117435
20,1367.52,0.9267,0.53181,1.07405,0.98936,0.95385,0.95865,0.74101,0.9179,0.49511,0.99878,0.00116021,0.00116021,0.00116021
21,1441.74,0.90441,0.52397,1.0735,0.98498,0.95385,0.96553,0.73158,0.93366,0.4661,1.01302,0.00114606,0.00114606,0.00114606
22,1516.6,0.89019,0.50283,1.06782,0.99235,0.95385,0.96535,0.77135,0.8434,0.42123,0.98346,0.00113191,0.00113191,0.00113191
23,1590.49,0.89566,0.48874,1.07046,0.99395,0.95385,0.96715,0.76817,0.87855,0.44542,0.99956,0.00111776,0.00111776,0.00111776
24,1666.42,0.86441,0.48266,1.06391,0.99322,0.95385,0.9642,0.75936,0.87113,0.44371,1.01505,0.00110362,0.00110362,0.00110362
25,1738.6,0.85356,0.47385,1.05335,0.99321,0.95385,0.9702,0.75043,0.91201,0.46088,1.03403,0.00108947,0.00108947,0.00108947
26,1809.92,0.87162,0.48381,1.05832,0.99706,0.95385,0.96483,0.76031,0.85517,0.47129,0.9769,0.00107532,0.00107532,0.00107532
27,1881.48,0.86282,0.47946,1.0599,0.9881,0.95385,0.96296,0.75374,0.88157,0.47255,0.97528,0.00106118,0.00106118,0.00106118
28,1953.99,0.88515,0.50443,1.0767,0.97621,0.9645,0.95254,0.75716,0.87415,0.44296,1.01464,0.00104703,0.00104703,0.00104703
