epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.082,0.77291,2.1723,0.96718,0.00333,1,0.29363,0.18291,0.38652,3.75695,0.89491,0.00052,0.00052,0.00052
2,859.862,0.70558,1.34039,0.91579,0.00333,1,0.00396,0.00343,0.63371,3.77473,0.95658,0.00103901,0.00103901,0.00103901
3,1235.09,0.76452,1.20701,0.94089,0.00333,1,0.60241,0.53067,0.52514,3.26976,0.92353,0.00153664,0.00153664,0.00153664
4,1507.17,0.74033,1.06471,0.92903,0.99398,1,0.995,0.89788,0.60094,2.18982,0.91098,0.0018812,0.0018812,0.0018812
5,1818.89,0.72323,0.90851,0.9264,1,0.97425,0.995,0.8369,0.73426,1.55842,0.94539,0.0018416,0.0018416,0.0018416
6,2161.8,0.72924,0.79892,0.91425,0.60425,0.875,0.71509,0.47815,1.18831,1.60866,1.3485,0.001802,0.001802,0.001802
7,2456.77,0.72542,0.74961,0.90739,0.32719,0.40123,0.26298,0.04329,2.50923,3.14637,2.02137,0.0017624,0.0017624,0.0017624
8,2740.63,0.65573,0.6687,0.89942,0.97487,0.97007,0.99203,0.90462,0.42421,0.66151,0.88466,0.0017228,0.0017228,0.0017228
9,2990.26,0.58257,0.59304,0.87215,0.99779,0.95,0.95817,0.87858,0.46642,0.67896,0.90164,0.0016832,0.0016832,0.0016832
10,3258.92,0.5782,0.57476,0.88166,0.99709,1,0.995,0.97043,0.35756,0.57488,0.87131,0.0016436,0.0016436,0.0016436
11,3509.38,0.55951,0.52702,0.87374,0.99697,1,0.995,0.95969,0.33869,0.48358,0.86463,0.001604,0.001604,0.001604
12,3764.81,0.57232,0.52597,0.87791,0.99077,1,0.995,0.88922,0.49503,0.61364,0.88786,0.0015644,0.0015644,0.0015644
13,4010.26,0.57582,0.54099,0.88164,0.99741,1,0.995,0.93306,0.37635,0.48616,0.86409,0.0015248,0.0015248,0.0015248
14,4258.03,0.53441,0.48185,0.86551,0.99889,1,0.995,0.96024,0.32474,0.43117,0.8689,0.0014852,0.0014852,0.0014852
15,4543.54,0.52491,0.44659,0.84805,0.99845,1,0.995,0.95909,0.37004,0.36549,0.86737,0.0014456,0.0014456,0.0014456
16,4816.27,0.53892,0.45542,0.86757,0.99815,1,0.995,0.96854,0.36703,0.32414,0.86046,0.001406,0.001406,0.001406
17,5093.09,0.53655,0.44351,0.86097,0.99842,1,0.995,0.92787,0.35541,0.3582,0.85627,0.0013664,0.0013664,0.0013664
18,5364.78,0.49893,0.4189,0.85497,0.99838,1,0.995,0.97414,0.32861,0.34676,0.86559,0.0013268,0.0013268,0.0013268
19,5601.21,0.51806,0.42789,0.8653,0.99852,1,0.995,0.95205,0.30732,0.3229,0.85692,0.0012872,0.0012872,0.0012872
20,5885.8,0.50566,0.41852,0.85922,0.99743,1,0.995,0.98694,0.29147,0.32757,0.85216,0.0012476,0.0012476,0.0012476
21,6153.3,0.5082,0.41294,0.85526,0.99489,1,0.995,0.98225,0.33053,0.35476,0.85382,0.001208,0.001208,0.001208
22,6421.8,0.45353,0.39023,0.8442,0.9979,1,0.995,0.96862,0.26372,0.29983,0.847,0.0011684,0.0011684,0.0011684
23,6703.71,0.46165,0.39556,0.84653,0.99847,1,0.995,0.95613,0.2879,0.28795,0.85059,0.0011288,0.0011288,0.0011288
24,6979.21,0.44087,0.35847,0.84047,0.99856,1,0.995,0.995,0.24177,0.25197,0.84777,0.0010892,0.0010892,0.0010892
25,7229.94,0.42982,0.35781,0.84609,0.99846,1,0.995,0.97832,0.25256,0.27353,0.84791,0.0010496,0.0010496,0.0010496
26,7511.15,0.42662,0.35989,0.83675,0.998,1,0.995,0.98574,0.25725,0.30584,0.86024,0.00101,0.00101,0.00101
27,7777.7,0.4271,0.35561,0.83933,0.99819,1,0.995,0.95888,0.31612,0.3129,0.85232,0.0009704,0.0009704,0.0009704
28,8078.7,0.43742,0.34536,0.84901,0.99687,1,0.995,0.9637,0.32473,0.27695,0.85321,0.0009308,0.0009308,0.0009308
29,8316.39,0.41106,0.34604,0.83299,0.99618,1,0.995,0.96306,0.28191,0.25553,0.85156,0.0008912,0.0008912,0.0008912
30,8608.08,0.3831,0.32185,0.82873,0.99807,1,0.995,0.98961,0.22939,0.22862,0.84419,0.0008516,0.0008516,0.0008516
31,8878.96,0.39227,0.31362,0.83481,0.99848,1,0.995,0.995,0.20021,0.20374,0.84146,0.000812,0.000812,0.000812
32,9165.18,0.36094,0.31471,0.82384,0.9984,1,0.995,0.98024,0.24667,0.2566,0.84472,0.0007724,0.0007724,0.0007724
33,9434.27,0.37945,0.32121,0.83376,0.99843,1,0.995,0.9733,0.25498,0.23892,0.84283,0.0007328,0.0007328,0.0007328
34,9703.41,0.34836,0.30423,0.81797,0.99859,1,0.995,0.995,0.21324,0.22691,0.84141,0.0006932,0.0006932,0.0006932
35,9962.3,0.35078,0.29932,0.82697,0.99862,1,0.995,0.995,0.23393,0.21891,0.8426,0.0006536,0.0006536,0.0006536
36,10255.7,0.37076,0.30426,0.83561,0.99865,1,0.995,0.95049,0.34358,0.21477,0.84676,0.000614,0.000614,0.000614
37,10537.9,0.36386,0.29796,0.82229,0.99852,1,0.995,0.99241,0.19191,0.17878,0.83868,0.0005744,0.0005744,0.0005744
38,10815.8,0.33371,0.28183,0.81396,0.99854,1,0.995,0.995,0.17345,0.19845,0.8369,0.0005348,0.0005348,0.0005348
39,11096.3,0.33901,0.28247,0.83187,0.9983,1,0.995,0.995,0.19153,0.20915,0.84115,0.0004952,0.0004952,0.0004952
40,11354.8,0.3222,0.27335,0.82285,0.99799,1,0.995,0.99187,0.2004,0.193,0.83949,0.0004556,0.0004556,0.0004556
41,11614.5,0.233,0.22362,0.78136,0.99861,1,0.995,0.995,0.1852,0.19624,0.83663,0.000416,0.000416,0.000416
42,11865.1,0.23634,0.22404,0.76811,0.99863,1,0.995,0.995,0.22412,0.18966,0.83832,0.0003764,0.0003764,0.0003764
43,12154.8,0.2171,0.2108,0.78577,0.99861,1,0.995,0.98755,0.20158,0.18641,0.83748,0.0003368,0.0003368,0.0003368
44,12433.2,0.22296,0.21725,0.77812,0.99863,1,0.995,0.995,0.1891,0.18341,0.83708,0.0002972,0.0002972,0.0002972
45,12688.7,0.20382,0.20242,0.76954,0.99865,1,0.995,0.995,0.15871,0.15615,0.83537,0.0002576,0.0002576,0.0002576
46,12974,0.21131,0.20961,0.77665,0.99867,1,0.995,0.995,0.16798,0.15309,0.83597,0.000218,0.000218,0.000218
47,13244,0.19659,0.19485,0.76921,0.99868,1,0.995,0.995,0.17423,0.14623,0.83533,0.0001784,0.0001784,0.0001784
48,13523,0.19888,0.19328,0.7646,0.99868,1,0.995,0.995,0.16204,0.15465,0.8356,0.0001388,0.0001388,0.0001388
49,13798.7,0.187,0.18842,0.77094,0.99868,1,0.995,0.995,0.16534,0.14515,0.83513,9.92e-05,9.92e-05,9.92e-05
50,14041.9,0.18139,0.17978,0.77548,0.99867,1,0.995,0.995,0.15797,0.14753,0.83414,5.96e-05,5.96e-05,5.96e-05
