epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7764,0.76327,2.40482,1.27669,0.00333,1,0.9166,0.68709,0.38902,2.90283,1.05896,0.00018,0.00018,0.00018
2,195.676,0.65189,1.44712,1.1756,0.00333,1,0.99403,0.80985,0.59789,2.93044,1.20124,0.000376238,0.000376238,0.000376238
3,304.104,0.60947,1.05047,1.12476,0.00333,1,0.88319,0.74846,0.5779,2.90438,1.29341,0.000568516,0.000568516,0.000568516
4,417.098,0.61416,0.92381,1.10314,0.00333,1,0.94955,0.62423,1.09131,3.0836,1.99547,0.000756834,0.000756834,0.000756834
5,516.773,0.66983,0.8926,1.15144,0.00333,1,0.99403,0.64593,0.93989,2.83314,2.06656,0.000941192,0.000941192,0.000941192
6,669.735,0.71727,0.84266,1.1586,0.01031,1,0.54568,0.25643,1.42179,3.00067,3.27451,0.00112159,0.00112159,0.00112159
7,850.665,0.66314,0.74254,1.11479,0.00333,1,0.31034,0.11333,1.47099,3.22186,3.44696,0.00129803,0.00129803,0.00129803
8,1023.72,0.74034,0.85477,1.20736,0.00724,1,0.38961,0.22739,1.22358,2.92521,2.64422,0.00147051,0.00147051,0.00147051
9,1122.14,0.77628,0.85713,1.2262,0.78729,0.8,0.8565,0.36383,1.87081,2.52064,4.73356,0.00163902,0.00163902,0.00163902
10,1204.64,0.73228,0.79187,1.17987,0.92286,0.86667,0.90773,0.54375,1.2977,2.02437,2.9275,0.00180358,0.00180358,0.00180358
11,1322.16,0.72674,0.75734,1.16776,0.79496,0.86667,0.93899,0.44229,1.85635,2.00328,4.67648,0.001802,0.001802,0.001802
12,1456.81,0.63965,0.65445,1.12144,0.57051,0.70861,0.67806,0.2444,1.89013,2.28491,4.0017,0.0017822,0.0017822,0.0017822
13,1545.76,0.66207,0.62266,1.12779,0.16678,0.6,0.16376,0.05193,2.06238,2.73352,3.36767,0.0017624,0.0017624,0.0017624
14,1628.82,0.66965,0.62644,1.1293,0.61911,0.66667,0.68181,0.28859,1.27284,1.75688,1.74859,0.0017426,0.0017426,0.0017426
15,1710.24,0.64373,0.58523,1.1233,0.83376,0.8,0.88694,0.46087,1.44978,1.64505,1.94276,0.0017228,0.0017228,0.0017228
16,1833.72,0.67086,0.57818,1.11858,0.94998,1,0.99306,0.44467,1.49993,1.25716,2.26906,0.001703,0.001703,0.001703
17,1928.77,0.62288,0.54747,1.088,0.96044,1,0.995,0.63803,1.06856,1.12861,1.72247,0.0016832,0.0016832,0.0016832
18,2030.65,0.58168,0.50768,1.05655,0.96547,0.93213,0.98728,0.74321,0.74644,0.88447,1.34844,0.0016634,0.0016634,0.0016634
19,2129.4,0.59567,0.5085,1.09175,0.995,1,0.995,0.89529,0.48423,0.70614,1.1131,0.0016436,0.0016436,0.0016436
20,2253.48,0.6309,0.51282,1.09088,0.97037,1,0.995,0.86068,0.67314,0.63863,1.23393,0.0016238,0.0016238,0.0016238
21,2342.55,0.58074,0.48849,1.07615,0.99576,1,0.995,0.88317,0.5637,0.55656,1.20995,0.001604,0.001604,0.001604
22,2429.59,0.5548,0.46086,1.06146,0.99769,1,0.995,0.83579,0.64007,0.64954,1.26576,0.0015842,0.0015842,0.0015842
23,2516.01,0.53876,0.4528,1.02593,0.99756,1,0.995,0.83225,0.61399,0.54715,1.26758,0.0015644,0.0015644,0.0015644
24,2620.7,0.5692,0.46193,1.08191,0.99536,1,0.995,0.85095,0.66775,0.51729,1.3213,0.0015446,0.0015446,0.0015446
25,2768.18,0.55778,0.43555,1.06556,0.99223,1,0.995,0.90652,0.556,0.44765,1.21437,0.0015248,0.0015248,0.0015248
26,2856.98,0.56724,0.43043,1.06009,0.87432,1,0.96088,0.71801,0.88775,0.82966,1.49751,0.001505,0.001505,0.001505
27,2940.22,0.5259,0.41369,1.01297,0.95845,1,0.99306,0.69637,0.95913,0.78922,1.50553,0.0014852,0.0014852,0.0014852
28,3048.49,0.57427,0.44093,1.07599,0.97834,1,0.995,0.83174,0.62628,0.55548,1.17037,0.0014654,0.0014654,0.0014654
29,3131.88,0.56792,0.43037,1.04572,0.92817,1,0.995,0.75312,0.66261,0.68338,1.19122,0.0014456,0.0014456,0.0014456
30,3215.17,0.57476,0.425,1.06633,0.86617,1,0.98288,0.71207,0.77891,0.68605,1.35547,0.0014258,0.0014258,0.0014258
31,3302.35,0.58604,0.41064,1.07049,0.92727,1,0.98979,0.84118,0.65773,0.48148,1.23199,0.001406,0.001406,0.001406
32,3396.69,0.53661,0.39626,1.0269,1,0.99831,0.995,0.7906,0.8205,0.50911,1.50025,0.0013862,0.0013862,0.0013862
33,3483.98,0.53682,0.38255,1.03407,0.99744,1,0.995,0.80601,0.79906,0.47231,1.49675,0.0013664,0.0013664,0.0013664
34,3596.49,0.53283,0.38582,1.04084,0.99261,1,0.995,0.83091,0.62756,0.44935,1.19627,0.0013466,0.0013466,0.0013466
35,3690.97,0.51595,0.37602,1.01756,0.97652,0.96667,0.99312,0.87301,0.5799,0.43921,1.13986,0.0013268,0.0013268,0.0013268
36,3774.91,0.49246,0.37272,1.01629,0.99798,1,0.995,0.84519,0.63223,0.39019,1.204,0.001307,0.001307,0.001307
37,3856.39,0.50332,0.36951,1.02379,0.99804,1,0.995,0.83257,0.59908,0.36817,1.21002,0.0012872,0.0012872,0.0012872
38,3937.74,0.49458,0.36382,1.02566,0.99772,1,0.995,0.9087,0.50447,0.37604,1.10084,0.0012674,0.0012674,0.0012674
39,4022.75,0.50568,0.37283,1.02562,0.99693,1,0.995,0.8931,0.5088,0.39208,1.0953,0.0012476,0.0012476,0.0012476
40,4113.07,0.52577,0.36315,1.03326,0.99673,1,0.995,0.88274,0.61542,0.38748,1.22153,0.0012278,0.0012278,0.0012278
41,4199.87,0.50755,0.39234,1.03781,0.99387,1,0.995,0.87588,0.54837,0.37374,1.16616,0.001208,0.001208,0.001208
42,4287,0.51293,0.37575,1.04903,0.99704,1,0.995,0.88254,0.55583,0.34797,1.14364,0.0011882,0.0011882,0.0011882
43,4373.67,0.51452,0.35756,1.04761,0.99805,1,0.995,0.88058,0.52701,0.37119,1.10264,0.0011684,0.0011684,0.0011684
44,4461.05,0.52958,0.37093,1.02118,0.99799,1,0.995,0.91601,0.44502,0.33464,1.00684,0.0011486,0.0011486,0.0011486
45,4569.26,0.51311,0.35262,1.01621,0.99781,1,0.995,0.87986,0.56555,0.39992,1.12138,0.0011288,0.0011288,0.0011288
46,4721.55,0.50311,0.34537,1.00994,0.99811,1,0.995,0.92118,0.47678,0.34971,1.08373,0.001109,0.001109,0.001109
47,4806.28,0.49761,0.35456,1.02772,0.99807,1,0.995,0.87309,0.51246,0.35371,1.07483,0.0010892,0.0010892,0.0010892
48,4892.18,0.46318,0.33223,0.99449,0.99812,1,0.995,0.91124,0.43872,0.32628,1.01859,0.0010694,0.0010694,0.0010694
49,4977.86,0.47439,0.32808,1.00224,0.99815,1,0.995,0.88886,0.47511,0.3358,1.04666,0.0010496,0.0010496,0.0010496
50,5063.21,0.49258,0.33476,1.01869,0.99795,1,0.995,0.85004,0.62337,0.38594,1.18271,0.0010298,0.0010298,0.0010298
51,5149.5,0.49345,0.3401,1.01956,0.99779,1,0.995,0.85263,0.59424,0.36696,1.16153,0.00101,0.00101,0.00101
52,5234.75,0.49444,0.34757,1.01526,0.99802,1,0.995,0.87286,0.62013,0.35235,1.2106,0.0009902,0.0009902,0.0009902
53,5345.26,0.49332,0.33472,1.01428,0.99812,1,0.995,0.90018,0.56188,0.37208,1.12867,0.0009704,0.0009704,0.0009704
54,5479.7,0.46007,0.31584,0.98974,0.99815,1,0.995,0.9021,0.42279,0.29558,1.02193,0.0009506,0.0009506,0.0009506
55,5608.28,0.46872,0.31233,0.99933,0.99814,1,0.995,0.88659,0.5337,0.38225,1.10437,0.0009308,0.0009308,0.0009308
56,5694.34,0.46622,0.32249,0.99858,0.99746,1,0.995,0.87835,0.48391,0.31924,1.04451,0.000911,0.000911,0.000911
57,5778.75,0.45,0.31379,0.99632,0.99743,1,0.995,0.91242,0.48819,0.31825,1.04561,0.0008912,0.0008912,0.0008912
58,5864.33,0.44073,0.31218,0.99099,0.99815,1,0.995,0.90206,0.46361,0.30629,1.03339,0.0008714,0.0008714,0.0008714
59,5948.37,0.46978,0.319,0.99234,0.99814,1,0.995,0.89218,0.49627,0.30647,1.06179,0.0008516,0.0008516,0.0008516
60,6031.02,0.44185,0.29953,0.99352,0.99803,1,0.995,0.88604,0.47742,0.28891,1.06808,0.0008318,0.0008318,0.0008318
61,6147.17,0.44014,0.30801,0.98997,0.99806,1,0.995,0.88496,0.45732,0.30088,1.05585,0.000812,0.000812,0.000812
62,6239.19,0.44957,0.30431,0.98977,0.99821,1,0.995,0.90278,0.43757,0.28169,1.0379,0.0007922,0.0007922,0.0007922
63,6368.28,0.42031,0.29604,0.98825,0.99814,1,0.995,0.90163,0.44784,0.26902,1.04295,0.0007724,0.0007724,0.0007724
64,6460.78,0.45858,0.30762,0.99508,0.9982,1,0.995,0.91308,0.46093,0.27122,1.04649,0.0007526,0.0007526,0.0007526
65,6565.81,0.43816,0.30952,0.98019,0.9982,1,0.995,0.89789,0.49046,0.2628,1.06512,0.0007328,0.0007328,0.0007328
66,6650.46,0.42582,0.29549,0.96972,0.99815,1,0.995,0.8957,0.49361,0.27959,1.06603,0.000713,0.000713,0.000713
67,6752.08,0.4341,0.31388,0.99423,0.99806,1,0.995,0.91009,0.48201,0.29313,1.06011,0.0006932,0.0006932,0.0006932
68,6857.89,0.43658,0.2867,0.98655,0.99818,1,0.995,0.91894,0.44896,0.24366,1.03077,0.0006734,0.0006734,0.0006734
69,6989.2,0.43304,0.28956,0.97593,0.99822,1,0.995,0.9224,0.44587,0.24179,1.03257,0.0006536,0.0006536,0.0006536
70,7082.02,0.42097,0.28508,0.98503,0.99825,1,0.995,0.91289,0.45581,0.26797,1.02163,0.0006338,0.0006338,0.0006338
71,7219.08,0.39476,0.26632,0.95838,0.99821,1,0.995,0.9257,0.48757,0.28339,1.05117,0.000614,0.000614,0.000614
72,7312.23,0.40241,0.27316,0.96583,0.9982,1,0.995,0.91877,0.4606,0.24925,1.03579,0.0005942,0.0005942,0.0005942
73,7409.06,0.40625,0.27421,0.97855,0.99821,1,0.995,0.90132,0.47965,0.25053,1.03772,0.0005744,0.0005744,0.0005744
74,7494.31,0.39471,0.27785,0.96034,0.99816,1,0.995,0.89178,0.4614,0.25691,1.02394,0.0005546,0.0005546,0.0005546
75,7582.72,0.39148,0.26503,0.93833,0.99817,1,0.995,0.91156,0.46338,0.25282,1.03748,0.0005348,0.0005348,0.0005348
76,7673.03,0.43357,0.27909,0.99605,0.99823,1,0.995,0.9127,0.44749,0.25585,1.01883,0.000515,0.000515,0.000515
77,7760.37,0.42702,0.28667,0.97631,0.99824,1,0.995,0.91399,0.45817,0.25562,1.01616,0.0004952,0.0004952,0.0004952
78,7847.04,0.43232,0.30107,0.97522,0.9982,1,0.995,0.89925,0.48055,0.26655,1.03167,0.0004754,0.0004754,0.0004754
79,7933.06,0.39801,0.28423,0.96464,0.99818,1,0.995,0.87751,0.50602,0.27484,1.07169,0.0004556,0.0004556,0.0004556
