epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1151,1.21486,2.58013,1.34835,0.00325,1,0.50566,0.39404,0.7107,2.6739,1.09288,0.000543319,0.000543319,0.000543319
2,19.6888,1.00149,1.44549,1.15917,0.79282,0.70385,0.90064,0.72741,0.8727,1.69927,1.41726,0.00108811,0.00108811,0.00108811
3,23.2757,0.95723,1.22215,1.13997,0.56467,0.87979,0.93877,0.64706,0.98072,2.22412,1.46031,0.00162189,0.00162189,0.00162189
4,26.699,0.95362,1.11872,1.13223,0.95927,0.45238,0.54167,0.40654,1.79797,2.03737,1.80564,0.00161749,0.00161749,0.00161749
5,30.1452,0.92011,0.94765,1.11895,0.96517,0.92857,0.97658,0.766,0.79183,0.92263,1.25268,0.00160099,0.00160099,0.00160099
6,33.6182,0.88778,0.85242,1.1069,0.98009,0.92857,0.98265,0.70771,1.14365,0.74148,1.48733,0.00158448,0.00158448,0.00158448
7,37.0385,0.88677,0.77556,1.09892,0.98636,0.91772,0.9642,0.77394,0.75973,0.78989,1.14369,0.00156798,0.00156798,0.00156798
8,40.4986,0.85686,0.72387,1.08744,0.88008,1,0.98625,0.71059,0.94021,0.71874,1.2622,0.00155148,0.00155148,0.00155148
9,43.9446,0.84607,0.67154,1.0661,0.74751,0.6588,0.69848,0.47491,1.73096,1.35886,1.83946,0.00153497,0.00153497,0.00153497
10,47.3242,0.7934,0.62805,1.04352,0.97768,1,0.995,0.81158,0.75359,0.5418,1.13719,0.00151847,0.00151847,0.00151847
11,50.9141,0.83597,0.62539,1.06622,0.98884,0.92857,0.98632,0.80181,0.70545,0.47013,1.13918,0.00150197,0.00150197,0.00150197
12,54.3977,0.81011,0.6024,1.06559,0.81406,0.78571,0.77348,0.52677,1.61111,1.08474,1.79169,0.00148546,0.00148546,0.00148546
13,57.7953,0.81208,0.58179,1.05872,0.98762,0.95919,0.99267,0.81349,0.68394,0.45248,1.09003,0.00146896,0.00146896,0.00146896
14,61.2758,0.79657,0.55512,1.04429,0.98147,1,0.995,0.77631,0.81852,0.4606,1.11265,0.00145246,0.00145246,0.00145246
15,64.7317,0.76403,0.53926,1.03484,0.99211,0.92857,0.98813,0.79038,0.72305,0.45396,1.12848,0.00143595,0.00143595,0.00143595
16,68.1663,0.77557,0.5357,1.04189,0.9832,1,0.995,0.80429,0.80268,0.44991,1.14473,0.00141945,0.00141945,0.00141945
17,71.6378,0.76029,0.50188,1.01384,0.97917,1,0.995,0.83986,0.73041,0.45616,1.11496,0.00140295,0.00140295,0.00140295
18,75.103,0.75298,0.51207,1.0137,0.98396,1,0.995,0.81458,0.7163,0.44227,1.12103,0.00138644,0.00138644,0.00138644
19,78.5386,0.74396,0.50223,1.0183,0.96266,0.96277,0.995,0.85746,0.58544,0.46085,1.04352,0.00136994,0.00136994,0.00136994
20,82.044,0.73075,0.48263,1.00609,0.98383,1,0.995,0.78404,0.72547,0.38195,1.09053,0.00135344,0.00135344,0.00135344
21,85.5432,0.73371,0.47453,1.01174,0.9839,1,0.995,0.83118,0.64287,0.34472,1.07102,0.00133693,0.00133693,0.00133693
22,88.9853,0.73911,0.47821,1.0124,0.96638,0.93605,0.995,0.83449,0.68255,0.44097,1.08988,0.00132043,0.00132043,0.00132043
23,92.4149,0.71228,0.46953,1.01604,0.97878,1,0.995,0.82638,0.64523,0.37324,1.05103,0.00130393,0.00130393,0.00130393
24,95.9404,0.73033,0.46886,1.00826,0.98275,1,0.995,0.87449,0.55468,0.34669,1.0159,0.00128742,0.00128742,0.00128742
25,99.4325,0.71791,0.45653,1.00689,0.97644,1,0.995,0.849,0.62832,0.45512,1.04103,0.00127092,0.00127092,0.00127092
26,102.847,0.71178,0.44797,1.00244,0.98749,1,0.995,0.85232,0.66915,0.37463,1.08278,0.00125442,0.00125442,0.00125442
27,106.349,0.70151,0.46287,1.0053,0.94962,1,0.995,0.85245,0.64245,0.3858,1.06611,0.00123791,0.00123791,0.00123791
28,109.864,0.69093,0.4479,0.99773,0.90373,1,0.98625,0.8154,0.62679,0.36917,1.05056,0.00122141,0.00122141,0.00122141
29,113.277,0.68784,0.45193,0.99498,0.92386,0.92857,0.93391,0.83274,0.6394,0.43767,1.08659,0.00120491,0.00120491,0.00120491
